path	size	sha256	ledger_status	landing_tier
SIDE24_MASTER_REGISTER_R2_2026-08-02.md	30062	7fede02fc8636effb644496c3fac267b4817720d988d88a5fb56a328b4034925	input	controlling_candidate
SIDE24_gap_fill/SIDE24_GAP_FILL_SUPPLEMENT.md	115104	33609b70d8c4d970d3594ebdc2cb59200508bfb2e53002ae7c6b10b3bc19d41f	input	controlling_candidate
SIDE24_gap_fill/reports/KIMI-THM-023_lb5_assembly.txt	14982	453114542b0e215677cec3525dfab2a3e2cb87ed48284a5e6e82b89a85c2ffb5	input	controlling_candidate
SIDE24_gap_fill/reports/KIMI-THM-023_v1_1_lb5_assembly.txt	14876	8ad1acca9f54830d5897823f4f5273384a633a4d27051de9ad86f27eaf9dd820	HOLD draft, noncontrolling, contains placeholders - preserve bytes, do not consume	quarantine_evidence
SIDE24_gap_fill/reports/KIMI-AUD-023_lb4_residue.txt	5498	0dfab4f07f7c673f48ca2fc49ffe7358e8c4ccaa35e8edc1f2172844fc53f488	input	controlling_candidate
SIDE24_gap_fill/reports/KIMI-AUD-023_v1_1_lb4_residue.txt	10394	1fe6902cee307081668b61be79cc2085001d25290d4917c615f0cc861af06b97	input	controlling_candidate
SIDE24_gap_fill/reports/KIMI-AUD-024_lb6_two_sided.txt	3383	853ea5a0d59c888d96000b4e49f15d6fb3550c29c6dd1ff4386de1e14945ebdb	input	controlling_candidate
SIDE24_gap_fill/reports/KIMI-DER-025_wp_resolution.txt	12285	1dd6daceca9fb5965f22d7ad07d28f2f1ede68812a7b4d6cc9f3555e172e6e2e	DEFECTIVE (missing-CS-square-root in the WP upper bound; see 00_READ_FIRST) - evidence only	quarantine_evidence
SIDE24_gap_fill/reports/KIMI-DATA-025_wo063_intake.txt	2455	3bcb3f11208aa0a69e9b3497cb6bcb301cf1e009a593df5bb4aa1d04f94f98cb	input	controlling_candidate
SIDE24_gap_fill/reports/KIMI-DATA-028_transport_settlements.txt	4953	7ee412f6d5ef41570a61a0a3eb8ecff28981543ca12260ab5a9dcd705e5c21c6	input	controlling_candidate
SIDE24_gap_fill/scripts/verify_wp_witness_v1.py	31026	da424a76788934ed54fe09a27dc9cbc4d546cea6734cd77c28e7be5660cd57af	DEFECTIVE (missing-CS-square-root in the WP upper bound; see 00_READ_FIRST) - evidence only	quarantine_evidence
SIDE24_gap_fill/scripts/t_wp_normal.txt	7953	371f308f3ea0f3e5091a88340f7cfe350ab987d928ebbfa80ab7dc584f297515	DEFECTIVE (missing-CS-square-root in the WP upper bound; see 00_READ_FIRST) - evidence only	quarantine_evidence
SIDE24_gap_fill/scripts/t_wp_O.txt	7948	6f1a226fe1ecefeba95aa955f4bbacfc582ebee789bc454ca5248c1c674dcebc	DEFECTIVE (missing-CS-square-root in the WP upper bound; see 00_READ_FIRST) - evidence only	quarantine_evidence
SIDE24_gap_fill/scripts/verify_thm023_v1_1_v1.py	23691	726900027242ad110221ea39ff0fefe38a8a2926522f95bfe0bb60cde0f494ac	DEFECTIVE (missing-CS-square-root in the WP upper bound; see 00_READ_FIRST) - evidence only	quarantine_evidence
gamma_loc_iic/KIMI_DER_026.md	22934	d6bde0636b400d995f889e55446892631f3c2d462e060b34c27532fbd4a05bfd	input	controlling_candidate
gamma_loc_iic/verify_gamma_loc_iic_v1.py	13976	ece7244acaa69a2f8719d35bd73f5ea9f6542902c8ae86efd6a3ed14ffece570	input	controlling_candidate
19fcef2e-c302-83b4-8000-0f5af9371ada/KIMI-DER-027c.md	15144	258f55df9baabf91a04d192f7b5b9bf993d34a25819b5721aea2392e66c93b05	input	controlling_candidate
19fcef2e-c022-877e-8000-0f5a09d447b0/KIMI-DER-027a_farfield_envelope.md	13602	992f00d5bbcd897b7fbe21779bc0c212dafe75a4354d8c85105e58c6d3a8f448	input	controlling_candidate
19fca709-6422-875f-8000-0f5a4a02e62f/LB1_sup_over_zone_proof.md	14721	4d265aef0f9d4906cbf7bb97ae3e2fc86e6449924f06b65bab54783fc486279e	input	controlling_candidate
19fca709-6422-875f-8000-0f5a4a02e62f/lb1_sup_over_zone_certificate.py	37280	a69cec3c107f38245283efbb83a423ed364db7256dfc8ec909ea1b78dac580d9	input	controlling_candidate
