artifact,bytes,sha256,drive_id,role
KIMI_SOURCE_SNAPSHOT_AS_RECEIVED_2026-08-02_SHA_50bef1fc.zip,6213385,50bef1fc2ad9e585ea36a9c890b4759b18937be0e4af73d4cfbe517a3ccaf815,1D1FKF58INkBnDmIWvBDPHJPMCackBtqs,received_noncontrolling_snapshot
KIMI-AUD-003_task3_rho_remainder.txt,3849,f542336aee7e3c0875b8a51207ca97664c669d5b294ef649c431b2dde8f76391,1zxVOFFOZrU86388Rc30p3NuewIw81dwK,third_family_audit
KIMI-AUD-005_task1_cl_der_204_review.txt,4804,552a26aa9a435b76b501af36e1f13f60840de791c066479c95e5f382cd24dd03,1L_Vs08LER4jQGg3ObzQC-FQ8mzfHLFXs,third_family_audit
KIMI-AUD-006_task7_v34_facewise_audit.txt,8329,17c8eba9fcc4a5d1475d7f9e6f3b51ff060aa5ecca78ee879617a20ea0c127fd,1HQIpE8Ey7VOiXN7vJWucJIVEAdsXgx0h,controlling_audit_chain_raw
KIMI-AUD-006b_amendment_closure.txt,4624,2a38f2d412b4a7b51f008fc5593889b2598fbe01197ad1d873646bb7444877ce,1hfUOS2YXKfDfE8Al-sCGNf1PX-FgtSgN,controlling_audit_chain_raw
KIMI-AUD-007_task5_axial_suppression.txt,4071,82b0a22bf802a55406f52c00c73f38ca3e49b8aab1d3e6be5d5f2db9bf8f7d55,1LSGQUWnoEs77qlhdg6btb2rvnzc8nLEZ,post_ratification_support
KIMI-DATA-001_task0_inventory.txt,2204,fd9609fb7db149d825a3932b5f7e6703c730cd69d71c7a3598f0ec270e3cd3e8,11xz5DJkNMPckNw1KS8HVE4_z7auGNKFf,inventory
KIMI-DATA-008_task8_p01_inventory.txt,1817,73503e4254b668828bcf0a6f410c350a95cd6079d799035f9377097580ea2002,1qoO9aaPcA-4UilTiKZMUVvGt5YgnDviK,inventory_superseded_by_008b
KIMI-DATA-008b_inventory_full.txt,2135,a9b70ffe5b8b2d9098661ebcddb9902943c10f46d914870984949bdc95f97c48,1SHYI5B5m1OV8_DVDZGw8MV5PPxIj_Z_6,inventory_current_for_received_corpus
KIMI-DER-002_task2_periodization.txt,4509,068ec722176baed6c9567bc50b78ea2db2904670b6caa839afff06f9b77f0189,14eEdzp2oLwwrG_4m2dlXHCNErn-ihqO1,blind_reconstruction_not_carrier_binding
KIMI-DER-004_task4_polynomials.txt,1671,20043efdcdb8c1288efa036892f4578471cdec5a9bca2c7a035af6fb66f13623,1Fft-IWzeyi_9WeW9UpRTM70dXVWG6VoM,third_family_derivation
KIMI-DER-006_task6_d7_mechanism.txt,4417,709a4d24c0c09d2e9ccd125571fdb38f20b7cb1a081e9065959c7a00596d5331,1ea_wTmC0ixYDjFVGunj91xgx4FgAzkvo,post_ratification_derived_support
KIMI-DER-009_task10_selection_lemma.txt,6530,410cabe4fd3ac472591ffff181987b0e65ba121f08f3b44e99f3be7e7119c4b7,1dKVo1ItTDd3chXgNadw7bNazL3iRjSCF,proof_modulo_named_premise
KIMI-DER-010_task11_joint_gluing.txt,4178,a292c5275d61c8e2a03eae844b677c1c08a7fb285964f05b01eea7ee2df63214,15u77oqqKCoXTe99idbGrnsvSckfQG96W,post_ratification_support
kimi_inventory_full.tsv,21523,4e317e7ef7198d5d28279bd08b5a9dc18462f9f7ca939e0cd55a5c29ee97aba8,19miRtzIugMcjGfpnlVoZ7mnm8Ce0kogD,exact_184_file_inventory
