path,role,bytes,sha256,source_drive_id,provenance,status
core/GP-DATA-214-v1.0_r_uniform_exact_endpoint_normalizer.py,exact_source,37512,63ef800a51969903b9c3d97c74e61f77ee037afadff73038047ef7cfce040fb9,1sn3pBHyCWDYkLVlltWwbsCB5PSvVL7m6,marker-extracted frozen source,VERIFIED
core/GP-DATA-214-v1.0_result.json,exact_result,10944,af2779575ce3d18eeb69499e32ecc6e7c40898181ddf0fd6e4815d35cf8a6cbf,1sZEdCYmKAJ4BWw9JxPc0pCLfUlnTkqj0,marker-extracted frozen result,VERIFIED
core/GP-DATA-214-v1.0_coefficient_table.json,exact_coefficient_table,3269,b2724c9379d9a3d7cb55998908d3480818ee4ac29e918a9b7a4192c350b2224e,1vcAxulFD3FegIJLm13_PeslkfhohSodp,deterministically materialized from exact source,VERIFIED_WITH_PROVENANCE_NOTE
core/GP-DATA-214_SOURCE_native_text_export.txt,native_text_export,39786,47a7730755f5bd8d75e1d17dbf68e96463a2145f5e3e0f792ea86a88ea315050,1um4cEhBOODbPrkObHtHev_3MO9zknmbb,stored raw Drive export,VERIFIED
core/GP-DATA-214_RESULT_native_text_export.txt,native_text_export,12440,e4fd486ba0b1a5d1827e918ce52e92110784a6922abf77dac7d0e955d434e883,17xyN3Vckj3C_GNxyZIRWftlTNHZeEreB,stored raw Drive export,VERIFIED
core/GP-DER-197-v1.0_frozen_body.txt,exact_frozen_body,13797,035d5a18018606bd8736dc5774a7adbed29de453b30a1780976e1e4f69285d4d,1mViPOW2VS0W8aBjbL63cQHgyMI45HdQI,marker-extracted frozen body,VERIFIED
core/GP-DER-197_native_text_export.txt,native_text_export,25495,1974183747617041ab84d679fa632f8c22d9cf3dd09ed97ae27ad9f7b9573f71,1WWnTp9MGs16Dl4qYj79rV9q6uJDpKsuV,stored raw Drive export,VERIFIED
core/LS-DER-026-v1.0_frozen_body.txt,exact_frozen_body,11725,e4d8094ed1bfc9f9cc7491f13efd5cc5294ba3b5f4fbd4bc8bbba33dd1a2ab5d,1uqSiHNjsuBJnxrS9SsP3VxBjQU38HLJK,marker-extracted frozen body,VERIFIED
core/LS-DER-026_native_text_export.txt,native_text_export,15281,861de456e777255967a243e03a84d9c4496679a49fbd6d8e816eaa549bb24df5,1RDQYQFqR8NGL5Q0YTYxw_7QXdV7wo54V,stored raw Drive export,VERIFIED
core/LS-DER-027-v1.0_frozen_body.txt,exact_frozen_body,11330,60768783048ae9f5347735caa6a543ff074b785f2d5a1c568237c92d12f12f39,1_18wsEuV4gdUDjJZ0VHkWMES4UGMk3su,marker-extracted frozen body,VERIFIED
core/LS-DER-027_native_text_export.txt,native_text_export,16153,f9234a32aa01153e6e94da2b1e8f956edabcf3da9a4ec9ab9de8b6bfabf29823,1DBWFaider9aYe30vyKf2HtC3KungYg9G,stored raw Drive export,VERIFIED
core/LS-DER-030-v1.0_frozen_body.txt,exact_frozen_body,12794,5476f11a281635ad99a7ed125a55e06e875681aa273fb682ada02c9e0035d0c1,1z5dn5rONbSq_yR8MOOBKiI5rgGqmOO--,marker-extracted frozen body,VERIFIED
core/LS-DER-030_native_text_export.txt,native_text_export,16940,1aba93e4d57060df5d3e8c1f3bc1789e41b6ea151bbbe92c3d839af16c981bbe,13IMiIBnMyw3uVjsy6s4V6_FvEgTxnKc7,stored raw Drive export,VERIFIED
cl_dq012/CL-AUD-S2DER010-20260727-01_frozen_body.txt,exact_audit_body,2123,81748d71dbc4270f1f325cd48622cf2227cf48ebcf54c639fd6d318f253ecccd,1aQK0-emveJQqUDWP_Pck32mHNjtkMtT0hn7SA9toxBk,unique marker extraction matching lane receipt,VERIFIED
cl_dq012/CL-AUD-S2DER010-20260727-01_native_text_export.txt,current_native_text_export,19347,e5ff2d1f740766014f6be7c5c0dc47da6e256ea949969dcbeaf887628c906df0,1aQK0-emveJQqUDWP_Pck32mHNjtkMtT0hn7SA9toxBk,current Drive text/plain export,VERIFIED
cl_dq012/CL-LANE-DQ-012_COMPLETE_native_text_export.txt,current_native_text_export,2231,504c864e48f7c40ee1dd37d1e14acb0cfcc8c3ee824aa4ceeb74bd3ccabd0921,1ICG-UiF1nJYzx-O9TC471MGSv9OoX-D1A7JcYYRvjic,current Drive text/plain export,VERIFIED
optional_lineage/GP-DER-118-v1.9_frozen_theorem_body.txt,exact_frozen_body,28257,d894c0fe35d17be878820971df5b7b300b6182ee71d79a89efe0d25ef6fad7f5,1mHxvCzfVIS6eER8UBqcQdEP0R0q1KF8p70VZHmpWwU0,unique marker extraction,VERIFIED
optional_lineage/GP-DER-118-v1.9_native_text_export.txt,current_native_text_export,30941,2ce9e81ce1478b0d1a611c0b168977839f94986d3820fade85bc37d81e903a22,1mHxvCzfVIS6eER8UBqcQdEP0R0q1KF8p70VZHmpWwU0,current Drive text/plain export,VERIFIED
optional_lineage/GP-DATA-236-v1.0_native_text_export.txt,current_native_text_export,31963,5edc6f3ee9659f9bd1d932d43b95b8cb81f889435e7851ffb02a0b40e7372556,1RgY1VkeXeF244h8pYtTlMipYobJFRVA0kJMN-6nVEeU,current Drive text/plain export binding v1.9 body,VERIFIED
